Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:00PM ET,boxscore,L,,0-1,,San Francisco 49ers,33,41,31,430,314,116,1,21,442,311,131,2,5.16,-15.48,1.73
2,Mon,September 20,8:15PM ET,boxscore,L,,0-2,@,Green Bay Packers,17,35,19,344,236,108,2,25,323,227,96,,-0.27,-19.91,3.69
3,Sun,September 26,1:00PM ET,boxscore,L,,0-3,,Baltimore Ravens,17,19,22,285,192,93,,15,387,271,116,1,5.76,-5.18,-1.42
4,Sun,October 3,1:00PM ET,boxscore,L,,0-4,@,Chicago Bears,14,24,23,351,261,90,2,20,373,185,188,1,1.56,-12.01,-0.02
5,Sun,October 10,1:00PM ET,boxscore,L,,0-5,@,Minnesota Vikings,17,19,22,288,180,108,2,18,384,264,120,2,-7.67,0.50,4.46
6,Sun,October 17,1:00PM ET,boxscore,L,,0-6,,Cincinnati Bengals,11,34,15,228,192,36,1,20,398,256,142,1,-8.89,-16.60,0.46
7,Sun,October 24,4:05PM ET,boxscore,L,,0-7,@,Los Angeles Rams,19,28,19,415,278,137,2,22,374,327,47,,3.32,-20.08,6.99
8,Sun,October 31,1:00PM ET,boxscore,L,,0-8,,Philadelphia Eagles,6,44,15,228,171,57,1,27,350,114,236,,-17.40,-18.70,-1.69
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 14,1:00PM ET,boxscore,T,OT,0-8-1,@,Pittsburgh Steelers,16,16,17,306,77,229,,22,387,242,145,3,-5.57,6.61,-1.04
11,Sun,November 21,1:00PM ET,boxscore,L,,0-9-1,@,Cleveland Browns,10,13,12,245,77,168,2,22,349,165,184,2,-4.39,-4.65,6.08
12,Thu,November 25,12:30PM ET,boxscore,L,,0-10-1,,Chicago Bears,14,16,14,239,163,76,1,21,378,310,68,1,-2.01,-4.40,4.41
13,Sun,December 5,1:00PM ET,boxscore,W,,1-10-1,,Minnesota Vikings,29,27,23,372,272,100,2,26,426,326,100,1,5.16,-2.07,1.98
14,Sun,December 12,4:05PM ET,boxscore,L,,1-11-1,@,Denver Broncos,10,38,17,316,198,118,2,25,358,174,184,,-4.61,-22.94,1.05
15,Sun,December 19,1:00PM ET,boxscore,W,,2-11-1,,Arizona Cardinals,30,12,22,338,212,126,1,23,398,293,105,1,9.87,3.11,1.31
16,Sun,December 26,1:00PM ET,boxscore,L,,2-12-1,@,Atlanta Falcons,16,20,19,338,208,130,1,14,254,207,47,1,6.56,-5.42,-2.23
17,Sun,January 2,4:25PM ET,boxscore,L,,2-13-1,@,Seattle Seahawks,29,51,20,357,262,95,3,29,497,232,265,,3.55,-32.32,2.68
18,Sun,January 9,1:00PM ET,boxscore,W,,3-13-1,,Green Bay Packers,37,30,19,404,305,99,,22,378,256,122,3,16.74,-6.49,0.00

