Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,4:25PM ET,boxscore,L,,0-1,@,New Orleans Saints,3,38,14,229,186,43,3,22,322,151,171,,-14.83,-20.22,1.59
2,Mon,September 20,8:15PM ET,boxscore,W,,1-1,,Detroit Lions,35,17,25,323,227,96,,19,344,236,108,2,19.91,0.27,-3.69
3,Sun,September 26,8:20PM ET,boxscore,W,,2-1,@,San Francisco 49ers,30,28,21,353,253,100,,26,298,231,67,2,15.14,-12.19,-0.95
4,Sun,October 3,4:25PM ET,boxscore,W,,3-1,,Pittsburgh Steelers,27,17,23,367,236,131,1,17,282,220,62,2,7.14,5.05,-3.23
5,Sun,October 10,1:00PM ET,boxscore,W,OT,4-1,@,Cincinnati Bengals,25,22,21,466,333,133,1,18,367,264,103,2,9.92,-3.92,-3.51
6,Sun,October 17,1:00PM ET,boxscore,W,,5-1,@,Chicago Bears,24,14,22,323,169,154,,21,277,137,140,1,14.93,-4.93,0.30
7,Sun,October 24,1:00PM ET,boxscore,W,,6-1,,Washington Football Team,24,10,19,304,247,57,1,25,430,235,195,2,8.64,0.39,3.31
8,Thu,October 28,8:20PM ET,boxscore,W,,7-1,@,Arizona Cardinals,24,21,24,335,184,151,,22,334,260,74,3,7.88,-9.86,6.65
9,Sun,November 7,4:25PM ET,boxscore,L,,7-2,@,Kansas City Chiefs,7,13,19,301,179,122,2,14,237,160,77,,-0.97,6.84,-12.35
10,Sun,November 14,4:25PM ET,boxscore,W,,8-2,,Seattle Seahawks,17,0,22,393,287,106,1,15,208,133,75,2,8.95,11.44,-5.23
11,Sun,November 21,1:00PM ET,boxscore,L,,8-3,@,Minnesota Vikings,31,34,21,467,372,95,,25,408,318,90,,22.41,-25.39,1.57
12,Sun,November 28,4:25PM ET,boxscore,W,,9-3,,Los Angeles Rams,36,28,21,399,307,92,1,15,353,285,68,3,4.66,5.92,-0.69
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,December 12,8:20PM ET,boxscore,W,,10-3,,Chicago Bears,45,30,27,439,320,119,,16,347,210,137,3,23.05,5.60,-15.19
15,Sun,December 19,1:00PM ET,boxscore,W,,11-3,@,Baltimore Ravens,31,30,26,346,250,96,,24,354,211,143,,19.33,-13.55,-1.90
16,Sat,December 25,4:30PM ET,boxscore,W,,12-3,,Cleveland Browns,24,22,19,311,202,109,,28,408,189,219,4,10.56,-9.40,3.89
17,Sun,January 2,8:20PM ET,boxscore,W,,13-3,,Minnesota Vikings,37,10,29,481,307,174,,11,206,179,27,,21.96,13.56,-7.80
18,Sun,January 9,1:00PM ET,boxscore,L,,13-4,@,Detroit Lions,30,37,22,378,256,122,3,19,404,305,99,,6.49,-16.74,0.00
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 22,8:15PM ET,boxscore,L,,13-5,,San Francisco 49ers,10,13,14,263,196,67,1,12,212,106,106,1,-4.75,11.56,-9.07

