Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,L,,0-1,,Las Vegas Raiders,16,17,22,260,166,94,,22,261,200,61,1,10.75,-9.59,-3.68
2,Sun,September 17,4:25PM ET,boxscore,L,,0-2,,Washington Commanders,33,35,21,399,277,122,2,26,388,266,122,,11.60,-16.73,3.13
3,Sun,September 24,1:00PM ET,boxscore,L,,0-3,@,Miami Dolphins,20,70,16,363,294,69,3,30,726,376,350,,-13.39,-48.65,12.38
4,Sun,October 1,1:00PM ET,boxscore,W,,1-3,@,Chicago Bears,31,28,17,311,214,97,,26,471,300,171,2,13.54,-13.11,1.50
5,Sun,October 8,4:25PM ET,boxscore,L,,1-4,,New York Jets,21,31,18,308,169,139,3,18,407,173,234,2,-6.26,-5.79,-2.75
6,Thu,October 12,8:15PM ET,boxscore,L,,1-5,@,Kansas City Chiefs,8,19,14,197,82,115,3,22,389,293,96,1,-13.65,-1.99,1.97
7,Sun,October 22,4:25PM ET,boxscore,W,,2-5,,Green Bay Packers,19,17,18,339,194,145,,20,331,194,137,1,9.89,-11.33,2.65
8,Sun,October 29,4:25PM ET,boxscore,W,,3-5,,Kansas City Chiefs,24,9,19,240,87,153,1,18,274,212,62,5,-1.52,11.85,4.12
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Mon,November 13,8:15PM ET,boxscore,W,,4-5,@,Buffalo Bills,24,22,19,300,178,122,1,18,369,177,192,4,-4.09,0.44,4.65
11,Sun,November 19,8:20PM ET,boxscore,W,,5-5,,Minnesota Vikings,21,20,13,295,249,46,,19,385,210,175,3,-3.68,1.96,5.21
12,Sun,November 26,4:05PM ET,boxscore,W,,6-5,,Cleveland Browns,29,12,17,294,125,169,1,19,269,162,107,3,3.83,14.00,-0.36
13,Sun,December 3,1:00PM ET,boxscore,L,,6-6,@,Houston Texans,17,22,16,282,164,118,3,14,353,264,89,,-4.63,1.15,-0.91
14,Sun,December 10,4:25PM ET,boxscore,W,,7-6,@,Los Angeles Chargers,24,7,19,322,216,106,1,17,283,207,76,2,-1.17,21.60,-2.39
15,Sat,December 16,8:15PM ET,boxscore,L,,7-7,@,Detroit Lions,17,42,20,287,204,83,1,29,448,263,185,,3.20,-29.35,3.14
16,Sun,December 24,8:15PM ET,boxscore,L,,7-8,,New England Patriots,23,26,19,276,193,83,2,12,289,230,59,1,-0.12,1.42,-4.11
17,Sun,December 31,4:25PM ET,boxscore,W,,8-8,,Los Angeles Chargers,16,9,16,313,212,101,,17,301,215,86,1,2.08,5.75,1.20
18,Sun,January 7,4:25PM ET,boxscore,L,,8-9,@,Las Vegas Raiders,14,27,17,286,238,48,1,22,359,230,129,,1.30,-12.72,-0.08

