Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,@,Washington Commanders,16,20,13,210,114,96,2,21,248,156,92,3,-19.87,9.25,4.96
2,Sun,September 17,4:05PM ET,boxscore,L,,0-2,,New York Giants,28,31,24,379,228,151,,26,439,312,127,1,15.48,-16.76,-2.39
3,Sun,September 24,4:25PM ET,boxscore,W,,1-2,,Dallas Cowboys,28,16,20,400,178,222,,26,416,231,185,1,18.46,-6.78,1.14
4,Sun,October 1,4:25PM ET,boxscore,L,,1-3,@,San Francisco 49ers,16,35,23,362,257,105,,30,395,271,124,,9.72,-30.46,1.63
5,Sun,October 8,4:05PM ET,boxscore,L,,1-4,,Cincinnati Bengals,20,34,15,294,152,142,3,27,380,287,93,1,-9.49,-4.11,-0.68
6,Sun,October 15,4:25PM ET,boxscore,L,,1-5,@,Los Angeles Rams,9,26,20,345,215,130,2,17,382,203,179,1,-12.85,-10.25,7.36
7,Sun,October 22,4:05PM ET,boxscore,L,,1-6,@,Seattle Seahawks,10,20,15,249,122,127,,18,318,203,115,3,-10.34,-2.20,3.57
8,Sun,October 29,4:25PM ET,boxscore,L,,1-7,,Baltimore Ravens,24,31,22,310,181,129,2,21,268,138,130,,-3.72,-9.20,1.65
9,Sun,November 5,1:00PM ET,boxscore,L,,1-8,@,Cleveland Browns,0,27,7,58,17,41,3,17,326,213,113,,-35.86,-0.59,7.62
10,Sun,November 12,4:05PM ET,boxscore,W,,2-8,,Atlanta Falcons,25,23,20,352,230,122,1,20,254,70,184,,0.59,-4.70,6.18
11,Sun,November 19,1:00PM ET,boxscore,L,,2-9,@,Houston Texans,16,21,20,319,196,123,2,22,419,308,111,3,-1.11,-4.22,0.49
12,Sun,November 26,4:05PM ET,boxscore,L,,2-10,,Los Angeles Rams,14,37,19,292,219,73,,25,457,229,228,1,-1.35,-22.85,4.78
13,Sun,December 3,1:00PM ET,boxscore,W,,3-10,@,Pittsburgh Steelers,24,10,18,282,132,150,,18,317,187,130,1,6.39,2.22,7.39
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 17,4:05PM ET,boxscore,L,,3-11,,San Francisco 49ers,29,45,22,436,202,234,2,24,406,262,144,,5.83,-26.28,1.07
16,Sun,December 24,4:25PM ET,boxscore,L,,3-12,@,Chicago Bears,16,27,16,306,213,93,,22,420,170,250,1,-4.06,-9.80,4.35
17,Sun,December 31,1:00PM ET,boxscore,W,,4-12,@,Philadelphia Eagles,35,31,32,449,228,221,1,17,275,184,91,1,21.16,-13.61,-3.99
18,Sun,January 7,4:25PM ET,boxscore,L,,4-13,,Seattle Seahawks,20,21,24,466,260,206,,18,327,189,138,,18.03,-10.16,-6.27
