Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,L,,0-1,,Miami Dolphins,34,36,30,433,200,233,,30,536,466,70,2,18.83,-26.53,3.22
2,Sun,September 17,1:00PM ET,boxscore,L,OT,0-2,@,Tennessee Titans,24,27,19,342,281,61,,22,341,200,141,,6.80,-9.86,0.06
3,Sun,September 24,1:00PM ET,boxscore,W,,1-2,@,Minnesota Vikings,28,24,24,475,445,30,1,29,475,345,130,2,15.21,-8.26,-4.83
4,Sun,October 1,4:05PM ET,boxscore,W,,2-2,,Las Vegas Raiders,24,17,16,305,150,155,1,22,264,188,76,3,4.86,8.27,-6.07
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,October 16,8:15PM ET,boxscore,L,,2-3,,Dallas Cowboys,17,20,18,272,219,53,1,20,342,246,96,1,-1.30,-8.96,5.38
7,Sun,October 22,4:25PM ET,boxscore,L,,2-4,@,Kansas City Chiefs,17,31,16,358,219,139,2,25,483,415,68,2,3.03,-19.19,2.58
8,Sun,October 29,8:20PM ET,boxscore,W,,3-4,,Chicago Bears,30,13,20,352,298,54,1,17,295,222,73,2,7.29,6.71,5.12
9,Mon,November 6,8:15PM ET,boxscore,W,,4-4,@,New York Jets,27,6,14,191,107,84,,17,270,206,64,3,-6.47,25.20,1.49
10,Sun,November 12,4:05PM ET,boxscore,L,,4-5,,Detroit Lions,38,41,24,421,323,98,1,23,533,333,200,,25.22,-31.55,2.59
11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Green Bay Packers,20,23,17,394,244,150,1,23,397,295,102,,2.45,-12.80,4.58
12,Sun,November 26,8:20PM ET,boxscore,L,,4-7,,Baltimore Ravens,10,20,16,279,193,86,4,20,361,164,197,,-16.16,-1.22,5.76
13,Sun,December 3,1:00PM ET,boxscore,W,,5-7,@,New England Patriots,6,0,13,241,212,29,,13,257,109,148,1,-9.06,13.06,4.71
14,Sun,December 10,4:25PM ET,boxscore,L,,5-8,,Denver Broncos,7,24,17,283,207,76,2,19,322,216,106,1,-21.60,1.17,2.39
15,Thu,December 14,8:15PM ET,boxscore,L,,5-9,@,Las Vegas Raiders,21,63,18,326,234,92,5,20,378,254,124,,-15.82,-22.25,-3.05
16,Sat,December 23,8:00PM ET,boxscore,L,,5-10,,Buffalo Bills,22,24,18,273,175,98,,16,335,230,105,3,-4.02,-7.67,9.12
17,Sun,December 31,4:25PM ET,boxscore,L,,5-11,@,Denver Broncos,9,16,17,301,215,86,1,16,313,212,101,,-5.75,-2.08,-1.20
18,Sun,January 7,4:25PM ET,boxscore,L,,5-12,,Kansas City Chiefs,12,13,22,353,235,118,1,12,268,145,123,1,-8.89,3.31,1.81

