Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 7,8:20PM ET,boxscore,L,,0-1,,Detroit Lions,20,21,17,316,226,90,1,19,368,250,118,1,-4.17,-2.60,2.11
2,Sun,September 17,1:00PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17,9,19,399,298,101,3,18,271,197,74,1,7.01,10.72,-6.76
3,Sun,September 24,4:25PM ET,boxscore,W,,2-1,,Chicago Bears,41,10,31,456,303,153,2,11,203,87,116,2,20.09,13.60,-1.47
4,Sun,October 1,8:20PM ET,boxscore,W,,3-1,@,New York Jets,23,20,24,401,197,204,2,18,336,228,108,1,10.22,-3.25,1.48
5,Sun,October 8,4:25PM ET,boxscore,W,,4-1,@,Minnesota Vikings,27,20,21,333,266,67,,24,329,259,70,1,15.55,-10.22,0.17
6,Thu,October 12,8:15PM ET,boxscore,W,,5-1,,Denver Broncos,19,8,22,389,293,96,1,14,197,82,115,3,1.99,13.65,-1.97
7,Sun,October 22,4:25PM ET,boxscore,W,,6-1,,Los Angeles Chargers,31,17,25,483,415,68,2,16,358,219,139,2,19.19,-3.03,-2.58
8,Sun,October 29,4:25PM ET,boxscore,L,,6-2,@,Denver Broncos,9,24,18,274,212,62,5,19,240,87,153,1,-11.85,1.52,-4.12
9,Sun,November 5,9:30AM ET,boxscore,W,,7-2,,Miami Dolphins,21,14,16,267,174,93,1,20,292,175,117,1,-1.10,9.86,-1.00
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Mon,November 20,8:15PM ET,boxscore,L,,7-3,,Philadelphia Eagles,17,21,23,336,168,168,2,16,238,124,114,1,-3.40,2.22,-3.61
12,Sun,November 26,4:25PM ET,boxscore,W,,8-3,@,Las Vegas Raiders,31,17,23,360,291,69,,16,358,235,123,,14.00,-6.49,5.90
13,Sun,December 3,8:20PM ET,boxscore,L,,8-4,@,Green Bay Packers,19,27,25,337,189,148,1,24,382,253,129,,9.54,-19.21,0.96
14,Sun,December 10,4:25PM ET,boxscore,L,,8-5,,Buffalo Bills,17,20,21,346,264,82,2,21,327,209,118,1,-2.22,-1.78,-0.36
15,Sun,December 17,1:00PM ET,boxscore,W,,9-5,@,New England Patriots,27,17,19,326,283,43,2,10,206,154,52,1,-5.95,16.05,-0.09
16,Mon,December 25,1:00PM ET,boxscore,L,,9-6,,Las Vegas Raiders,14,20,19,308,223,85,2,12,205,48,157,,-11.63,8.40,-3.27
17,Sun,December 31,4:25PM ET,boxscore,W,,10-6,,Cincinnati Bengals,25,17,15,373,241,132,1,20,263,159,104,,5.05,-1.31,3.55
18,Sun,January 7,4:25PM ET,boxscore,W,,11-6,@,Los Angeles Chargers,13,12,12,268,145,123,1,22,353,235,118,1,-3.31,8.89,-1.81
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 13,8:10PM ET,boxscore,W,,12-6,,Miami Dolphins,26,7,25,409,262,147,1,13,264,188,76,1,9.58,10.55,-4.67
Division,Sun,January 21,6:30PM ET,boxscore,W,,13-6,@,Buffalo Bills,27,24,21,361,215,146,1,27,368,186,182,,11.85,-14.55,4.08
Conf. Champ.,Sun,January 28,3:00PM ET,boxscore,W,,14-6,@,Baltimore Ravens,17,10,22,319,230,89,,16,336,255,81,3,4.10,7.20,-2.43
SuperBowl,Sun,February 11,6:30PM ET,boxscore,W,OT,15-6,N,San Francisco 49ers,25,22,24,455,325,130,2,23,382,272,110,2,3.42,-4.68,3.39

