Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,,Jacksonville Jaguars,21,31,18,280,215,65,3,20,342,237,105,2,-17.62,9.80,-2.44
2,Sun,September 17,1:00PM ET,boxscore,W,,1-1,@,Houston Texans,31,20,19,353,227,126,,24,389,337,52,1,14.21,-7.88,4.04
3,Sun,September 24,1:00PM ET,boxscore,W,OT,2-1,@,Baltimore Ravens,22,19,19,327,188,139,,20,364,178,186,2,-13.57,5.27,10.63
4,Sun,October 1,1:00PM ET,boxscore,L,OT,2-2,,Los Angeles Rams,23,29,19,329,196,133,1,27,467,303,164,1,5.51,-15.52,0.74
5,Sun,October 8,1:00PM ET,boxscore,W,,3-2,,Tennessee Titans,23,16,21,429,236,193,,19,348,259,89,1,16.77,-6.32,-0.89
6,Sun,October 15,1:00PM ET,boxscore,L,,3-3,@,Jacksonville Jaguars,20,37,18,354,310,44,4,17,233,148,85,1,-12.21,0.16,-4.88
7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,,Cleveland Browns,38,39,20,456,288,168,4,18,316,166,150,2,1.77,5.30,-10.23
8,Sun,October 29,1:00PM ET,boxscore,L,,3-5,,New Orleans Saints,27,38,19,371,207,164,1,24,511,350,161,1,8.38,-23.78,3.03
9,Sun,November 5,4:05PM ET,boxscore,W,,4-5,@,Carolina Panthers,27,13,17,198,120,78,1,17,275,137,138,3,-3.93,23.07,-2.92
10,Sun,November 12,9:30AM ET,boxscore,W,,5-5,@,New England Patriots,10,6,14,264,194,70,1,21,340,173,167,2,0.31,0.42,0.28
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 26,1:00PM ET,boxscore,W,,6-5,,Tampa Bay Buccaneers,27,20,26,394,239,155,1,17,298,173,125,2,10.81,0.30,1.18
13,Sun,December 3,1:00PM ET,boxscore,W,OT,7-5,@,Tennessee Titans,31,28,19,355,300,55,2,25,381,204,177,2,2.48,-3.29,6.88
14,Sun,December 10,1:00PM ET,boxscore,L,,7-6,@,Cincinnati Bengals,14,34,19,272,226,46,2,19,385,274,111,1,-4.37,-6.86,-8.34
15,Sat,December 16,4:30PM ET,boxscore,W,,8-6,,Pittsburgh Steelers,30,13,19,372,202,170,,13,216,142,74,3,11.18,9.21,-3.34
16,Sun,December 24,1:00PM ET,boxscore,L,,8-7,@,Atlanta Falcons,10,29,20,262,170,92,1,23,406,229,177,,-4.99,-13.44,1.88
17,Sun,December 31,1:00PM ET,boxscore,W,,9-7,,Las Vegas Raiders,23,20,16,349,215,134,,26,370,286,84,,11.41,-8.69,1.73
18,Sat,January 6,8:15PM ET,boxscore,L,,9-8,,Houston Texans,19,23,21,360,133,227,1,16,306,246,60,,3.98,-5.93,1.85

