Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,,Arizona Cardinals,20,16,21,248,156,92,3,13,210,114,96,2,-9.25,19.87,-4.96
2,Sun,September 17,4:25PM ET,boxscore,W,,2-0,@,Denver Broncos,35,33,26,388,266,122,,21,399,277,122,2,16.73,-11.60,-3.13
3,Sun,September 24,1:00PM ET,boxscore,L,,2-1,,Buffalo Bills,3,37,15,230,125,105,5,20,386,218,168,1,-23.07,-10.16,1.39
4,Sun,October 1,1:00PM ET,boxscore,L,OT,2-2,@,Philadelphia Eagles,31,34,26,365,258,107,,23,415,311,104,,17.68,-18.21,-2.47
5,Thu,October 5,8:15PM ET,boxscore,L,,2-3,,Chicago Bears,20,40,23,388,359,29,2,18,451,273,178,,4.63,-19.81,-0.51
6,Sun,October 15,1:00PM ET,boxscore,W,,3-3,@,Atlanta Falcons,24,16,13,193,121,72,,25,402,296,106,3,-0.45,5.68,3.28
7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,New York Giants,7,14,14,273,197,76,1,16,356,250,106,2,-16.05,3.64,8.94
8,Sun,October 29,1:00PM ET,boxscore,L,,3-5,,Philadelphia Eagles,31,38,26,472,388,84,1,21,374,315,59,2,10.32,-15.23,-4.32
9,Sun,November 5,1:00PM ET,boxscore,W,,4-5,@,New England Patriots,20,17,23,432,308,124,2,18,327,220,107,1,3.37,-0.28,1.30
10,Sun,November 12,4:25PM ET,boxscore,L,,4-6,@,Seattle Seahawks,26,29,16,356,288,68,1,27,489,369,120,,7.66,-15.28,2.61
11,Sun,November 19,1:00PM ET,boxscore,L,,4-7,,New York Giants,19,31,28,404,230,174,6,13,292,201,91,,-2.78,-0.33,-6.95
12,Thu,November 23,4:30PM ET,boxscore,L,,4-8,@,Dallas Cowboys,10,45,23,376,268,108,1,21,431,331,100,,-9.65,-25.86,2.36
13,Sun,December 3,1:00PM ET,boxscore,L,,4-9,,Miami Dolphins,15,45,11,245,107,138,1,20,406,283,123,,-6.88,-25.98,0.52
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 17,4:05PM ET,boxscore,L,,4-10,@,Los Angeles Rams,20,28,14,297,218,79,1,23,445,249,196,2,-2.14,-8.81,3.33
16,Sun,December 24,1:00PM ET,boxscore,L,,4-11,@,New York Jets,28,30,18,245,143,102,3,26,381,217,164,2,-3.65,15.58,-8.61
17,Sun,December 31,1:00PM ET,boxscore,L,,4-12,,San Francisco 49ers,10,27,12,225,163,62,2,28,408,224,184,,-6.62,-16.30,3.50
18,Sun,January 7,4:25PM ET,boxscore,L,,4-13,,Dallas Cowboys,10,38,12,180,130,50,3,31,440,309,131,1,-9.84,-25.23,7.97

