Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,Los Angeles Chargers,36,34,30,536,466,70,2,30,433,200,233,,26.53,-18.83,-3.22
2,Sun,September 17,8:20PM ET,boxscore,W,,2-0,@,New England Patriots,24,17,22,389,244,145,1,23,288,200,88,2,13.09,0.98,-7.69
3,Sun,September 24,1:00PM ET,boxscore,W,,3-0,,Denver Broncos,70,20,30,726,376,350,,16,363,294,69,3,48.65,13.39,-12.38
4,Sun,October 1,1:00PM ET,boxscore,L,,3-1,@,Buffalo Bills,20,48,20,393,251,142,2,24,414,310,104,,-2.09,-27.56,1.37
5,Sun,October 8,1:00PM ET,boxscore,W,,4-1,,New York Giants,31,16,22,524,302,222,3,15,268,183,85,,10.45,6.46,-1.72
6,Sun,October 15,1:00PM ET,boxscore,W,,5-1,,Carolina Panthers,42,21,23,424,262,162,1,21,296,188,108,,14.79,6.44,-0.33
7,Sun,October 22,8:20PM ET,boxscore,L,,5-2,@,Philadelphia Eagles,17,31,12,244,199,45,1,26,355,256,99,2,-7.17,-11.06,2.90
8,Sun,October 29,1:00PM ET,boxscore,W,,6-2,,New England Patriots,31,17,24,390,312,78,2,13,218,141,77,1,10.64,9.73,-3.59
9,Sun,November 5,9:30AM ET,boxscore,L,,6-3,@,Kansas City Chiefs,14,21,20,292,175,117,1,16,267,174,93,1,-9.86,1.10,1.00
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 19,1:00PM ET,boxscore,W,,7-3,,Las Vegas Raiders,20,13,21,422,323,99,3,12,296,260,36,3,1.48,15.77,-8.12
12,Fri,November 24,3:00PM ET,boxscore,W,,8-3,@,New York Jets,34,13,22,395,228,167,3,12,159,130,29,2,3.64,20.96,-2.09
13,Sun,December 3,1:00PM ET,boxscore,W,,9-3,@,Washington Commanders,45,15,20,406,283,123,,11,245,107,138,1,25.98,6.88,-0.52
14,Mon,December 11,8:15PM ET,boxscore,L,,9-4,,Tennessee Titans,27,28,20,366,208,158,1,22,403,320,83,3,-0.67,-1.86,0.42
15,Sun,December 17,1:00PM ET,boxscore,W,,10-4,,New York Jets,30,0,16,290,213,77,,11,103,80,23,4,4.37,28.99,-5.48
16,Sun,December 24,4:25PM ET,boxscore,W,,11-4,,Dallas Cowboys,22,20,22,375,284,91,,19,339,242,97,1,6.06,-8.66,4.74
17,Sun,December 31,1:00PM ET,boxscore,L,,11-5,@,Baltimore Ravens,19,56,20,375,221,154,3,24,491,331,160,1,-10.36,-31.09,1.21
18,Sun,January 7,8:20PM ET,boxscore,L,,11-6,,Buffalo Bills,14,21,16,275,167,108,2,26,473,345,128,3,3.92,-12.65,-3.03
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 13,8:10PM ET,boxscore,L,,11-7,@,Kansas City Chiefs,7,26,13,264,188,76,1,25,409,262,147,1,-10.55,-9.58,4.67

