Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,,Carolina Panthers,24,10,13,221,91,130,,20,281,127,154,3,-2.92,16.61,-0.20
2,Sun,September 17,1:00PM ET,boxscore,W,,2-0,,Green Bay Packers,25,24,27,446,235,211,1,17,224,140,84,,13.12,-7.85,-0.97
3,Sun,September 24,1:00PM ET,boxscore,L,,2-1,@,Detroit Lions,6,20,16,183,139,44,1,18,358,243,115,1,-15.09,-1.31,0.59
4,Sun,October 1,9:30AM ET,boxscore,L,,2-2,@,Jacksonville Jaguars,7,23,17,287,160,127,3,16,300,195,105,,-15.78,-0.72,0.86
5,Sun,October 8,1:00PM ET,boxscore,W,,3-2,,Houston Texans,21,19,26,447,351,96,2,17,313,249,64,,6.01,-2.73,-1.01
6,Sun,October 15,1:00PM ET,boxscore,L,,3-3,,Washington Commanders,16,24,25,402,296,106,3,13,193,121,72,,-5.68,0.45,-3.28
7,Sun,October 22,1:00PM ET,boxscore,W,,4-3,@,Tampa Bay Buccaneers,16,13,20,401,245,156,3,21,329,256,73,2,-0.80,2.11,1.89
8,Sun,October 29,1:00PM ET,boxscore,L,,4-4,@,Tennessee Titans,23,28,17,342,202,140,1,17,375,226,149,1,-3.34,-4.14,-0.17
9,Sun,November 5,1:00PM ET,boxscore,L,,4-5,,Minnesota Vikings,28,31,18,370,260,110,2,23,363,217,146,2,-3.40,-1.90,3.43
10,Sun,November 12,4:05PM ET,boxscore,L,,4-6,@,Arizona Cardinals,23,25,20,254,70,184,,20,352,230,122,1,4.70,-0.59,-6.18
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 26,1:00PM ET,boxscore,W,,5-6,,New Orleans Saints,24,15,25,396,168,228,2,22,444,296,148,2,7.53,3.48,-0.04
13,Sun,December 3,1:00PM ET,boxscore,W,,6-6,@,New York Jets,13,8,15,194,104,90,,14,259,197,62,3,-11.41,20.36,-1.05
14,Sun,December 10,1:00PM ET,boxscore,L,,6-7,,Tampa Bay Buccaneers,25,29,23,434,338,96,1,16,290,142,148,,7.82,-0.22,-9.28
15,Sun,December 17,1:00PM ET,boxscore,L,,6-8,@,Carolina Panthers,7,9,12,204,152,52,2,17,283,154,129,,-10.46,9.24,-0.79
16,Sun,December 24,1:00PM ET,boxscore,W,,7-8,,Indianapolis Colts,29,10,23,406,229,177,,20,262,170,92,1,13.44,4.99,-1.88
17,Sun,December 31,1:00PM ET,boxscore,L,,7-9,@,Chicago Bears,17,37,15,307,173,134,4,22,432,240,192,,-4.29,-10.27,-7.60
18,Sun,January 7,1:00PM ET,boxscore,L,,7-10,@,New Orleans Saints,17,48,14,389,311,78,3,27,400,246,154,,-11.97,-20.65,3.08

