Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,@,Indianapolis Colts,31,21,20,342,237,105,2,18,280,215,65,3,-9.80,17.62,2.44
2,Sun,September 17,1:00PM ET,boxscore,L,,1-1,,Kansas City Chiefs,9,17,18,271,197,74,1,19,399,298,101,3,-10.72,-7.01,6.76
3,Sun,September 24,1:00PM ET,boxscore,L,,1-2,,Houston Texans,17,37,22,404,288,116,2,15,366,280,86,,3.88,-13.65,-10.46
4,Sun,October 1,9:30AM ET,boxscore,W,,2-2,,Atlanta Falcons,23,7,16,300,195,105,,17,287,160,127,3,0.72,15.78,-0.86
5,Sun,October 8,9:30AM ET,boxscore,W,,3-2,@,Buffalo Bills,25,20,29,474,278,196,2,18,388,359,29,2,13.93,-6.27,2.21
6,Sun,October 15,1:00PM ET,boxscore,W,,4-2,,Indianapolis Colts,37,20,17,233,148,85,1,18,354,310,44,4,-0.16,12.21,4.88
7,Thu,October 19,8:15PM ET,boxscore,W,,5-2,@,New Orleans Saints,31,24,18,330,217,113,2,25,407,295,112,1,2.64,4.83,-1.15
8,Sun,October 29,1:00PM ET,boxscore,W,,6-2,@,Pittsburgh Steelers,20,10,20,377,271,106,3,17,261,191,70,2,-2.59,3.68,2.01
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 12,1:00PM ET,boxscore,L,,6-3,,San Francisco 49ers,3,34,12,221,162,59,4,20,437,293,144,,-18.16,-15.13,3.53
11,Sun,November 19,1:00PM ET,boxscore,W,,7-3,,Tennessee Titans,34,14,24,389,261,128,,12,235,143,92,2,21.06,-3.96,2.84
12,Sun,November 26,1:00PM ET,boxscore,W,,8-3,@,Houston Texans,24,21,22,445,364,81,1,19,352,261,91,,13.92,-8.20,3.64
13,Mon,December 4,8:15PM ET,boxscore,L,OT,8-4,,Cincinnati Bengals,31,34,23,376,305,71,,27,491,335,156,1,13.98,-17.41,-0.31
14,Sun,December 10,1:00PM ET,boxscore,L,,8-5,@,Cleveland Browns,27,31,20,293,235,58,4,16,389,307,82,3,-8.51,8.29,-5.12
15,Sun,December 17,8:20PM ET,boxscore,L,,8-6,,Baltimore Ravens,7,23,16,333,258,75,2,25,396,145,251,1,-3.03,-8.41,-2.47
16,Sun,December 24,4:05PM ET,boxscore,L,,8-7,@,Tampa Bay Buccaneers,12,30,23,305,268,37,4,22,335,265,70,,-9.43,-8.09,-4.78
17,Sun,December 31,1:00PM ET,boxscore,W,,9-7,,Carolina Panthers,26,0,16,317,162,155,,7,124,67,57,1,6.77,24.80,-4.36
18,Sun,January 7,1:00PM ET,boxscore,L,,9-8,@,Tennessee Titans,20,28,20,362,280,82,2,19,327,152,175,1,-0.86,-7.12,-0.99

