Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,Denver Broncos,17,16,22,261,200,61,1,22,260,166,94,,9.59,-10.75,3.68
2,Sun,September 17,1:00PM ET,boxscore,L,,1-1,@,Buffalo Bills,10,38,13,240,185,55,3,29,450,267,183,,-4.89,-27.19,3.85
3,Sun,September 24,8:20PM ET,boxscore,L,,1-2,,Pittsburgh Steelers,18,23,19,362,293,69,3,17,333,228,105,,-3.82,-5.43,-0.12
4,Sun,October 1,4:05PM ET,boxscore,L,,1-3,@,Los Angeles Chargers,17,24,22,264,188,76,3,16,305,150,155,1,-8.27,-4.86,6.07
5,Mon,October 9,8:15PM ET,boxscore,W,,2-3,,Green Bay Packers,17,13,19,279,183,96,1,18,285,175,110,3,-1.23,6.99,-5.61
6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,New England Patriots,21,17,19,348,264,84,1,17,259,176,83,1,2.79,-3.68,5.62
7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Chicago Bears,12,30,20,235,196,39,3,23,323,150,173,,-6.37,-12.58,-2.41
8,Mon,October 30,8:15PM ET,boxscore,L,,3-5,@,Detroit Lions,14,26,12,157,77,80,1,29,486,264,222,3,-15.25,-0.57,2.81
9,Sun,November 5,4:25PM ET,boxscore,W,,4-5,,New York Giants,30,6,15,334,209,125,,15,277,154,123,2,1.99,18.96,1.85
10,Sun,November 12,8:20PM ET,boxscore,W,,5-5,,New York Jets,16,12,15,274,126,148,2,14,365,257,108,1,-8.01,7.21,3.38
11,Sun,November 19,1:00PM ET,boxscore,L,,5-6,@,Miami Dolphins,13,20,12,296,260,36,3,21,422,323,99,3,-15.77,-1.48,8.12
12,Sun,November 26,4:25PM ET,boxscore,L,,5-7,,Kansas City Chiefs,17,31,16,358,235,123,,23,360,291,69,,6.49,-14.00,-5.90
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,December 10,4:05PM ET,boxscore,L,,5-8,,Minnesota Vikings,0,3,8,202,146,56,3,16,231,99,132,,-20.46,10.05,6.43
15,Thu,December 14,8:15PM ET,boxscore,W,,6-8,,Los Angeles Chargers,63,21,20,378,254,124,,18,326,234,92,5,22.25,15.82,3.05
16,Mon,December 25,1:00PM ET,boxscore,W,,7-8,@,Kansas City Chiefs,20,14,12,205,48,157,,19,308,223,85,2,-8.40,11.63,3.27
17,Sun,December 31,1:00PM ET,boxscore,L,,7-9,@,Indianapolis Colts,20,23,26,370,286,84,,16,349,215,134,,8.69,-11.41,-1.73
18,Sun,January 7,4:25PM ET,boxscore,W,,8-9,,Denver Broncos,27,14,22,359,230,129,,17,286,238,48,1,12.72,-1.30,0.08

