Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,,Houston Texans,25,9,18,265,155,110,2,18,268,196,72,1,-0.55,15.24,-0.49
2,Sun,September 17,1:00PM ET,boxscore,W,,2-0,@,Cincinnati Bengals,27,24,26,415,237,178,,19,282,216,66,1,18.73,-6.95,-6.67
3,Sun,September 24,1:00PM ET,boxscore,L,OT,2-1,,Indianapolis Colts,19,22,20,364,178,186,2,19,327,188,139,,-5.27,13.57,-10.63
4,Sun,October 1,1:00PM ET,boxscore,W,,3-1,@,Cleveland Browns,28,3,16,296,165,131,1,13,166,73,93,3,2.36,25.42,-2.71
5,Sun,October 8,1:00PM ET,boxscore,L,,3-2,@,Pittsburgh Steelers,10,17,19,335,210,125,3,17,289,202,87,1,-16.12,5.08,3.84
6,Sun,October 15,9:30AM ET,boxscore,W,,4-2,@,Tennessee Titans,24,16,20,360,221,139,1,17,233,104,129,2,3.16,1.30,4.65
7,Sun,October 22,1:00PM ET,boxscore,W,,5-2,,Detroit Lions,38,6,23,503,357,146,1,18,337,253,84,1,26.48,6.40,-3.38
8,Sun,October 29,4:25PM ET,boxscore,W,,6-2,@,Arizona Cardinals,31,24,21,268,138,130,,22,310,181,129,2,9.20,3.72,-1.65
9,Sun,November 5,1:00PM ET,boxscore,W,,7-2,,Seattle Seahawks,37,3,29,515,217,298,2,6,151,123,28,2,17.08,21.73,-5.23
10,Sun,November 12,1:00PM ET,boxscore,L,,7-3,,Cleveland Browns,31,33,18,306,200,106,2,24,373,195,178,2,2.49,-6.32,1.10
11,Thu,November 16,8:15PM ET,boxscore,W,,8-3,,Cincinnati Bengals,34,20,22,405,248,157,,20,272,136,136,,19.09,-4.61,1.27
12,Sun,November 26,8:20PM ET,boxscore,W,,9-3,@,Los Angeles Chargers,20,10,20,361,164,197,,16,279,193,86,4,1.22,16.16,-5.76
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,December 10,1:00PM ET,boxscore,W,OT,10-3,,Los Angeles Rams,37,31,23,449,310,139,1,24,410,282,128,,13.48,-7.96,0.55
15,Sun,December 17,8:20PM ET,boxscore,W,,11-3,@,Jacksonville Jaguars,23,7,25,396,145,251,1,16,333,258,75,2,8.41,3.03,2.47
16,Mon,December 25,8:15PM ET,boxscore,W,,12-3,@,San Francisco 49ers,33,19,23,343,241,102,,21,429,308,121,5,11.84,4.26,-1.31
17,Sun,December 31,1:00PM ET,boxscore,W,,13-3,,Miami Dolphins,56,19,24,491,331,160,1,20,375,221,154,3,31.09,10.36,-1.21
18,Sat,January 6,4:30PM ET,boxscore,L,,13-4,,Pittsburgh Steelers,10,17,13,224,118,106,2,16,289,134,155,2,-12.05,7.10,-3.24
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 20,4:30PM ET,boxscore,W,,14-4,,Houston Texans,34,10,22,352,123,229,,10,213,175,38,,15.37,10.33,-2.77
Conf. Champ.,Sun,January 28,3:00PM ET,boxscore,L,,14-5,,Kansas City Chiefs,10,17,16,336,255,81,3,22,319,230,89,,-7.20,-4.10,2.43

