Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,L,,0-1,,Los Angeles Rams,13,30,13,180,95,85,,27,426,334,92,,-1.77,-20.95,5.73
2,Sun,September 17,1:00PM ET,boxscore,W,OT,1-1,@,Detroit Lions,37,31,28,393,311,82,,25,418,316,102,3,18.00,-4.65,-7.35
3,Sun,September 24,4:05PM ET,boxscore,W,,2-1,,Carolina Panthers,37,27,27,425,279,146,1,23,378,334,44,,10.21,-6.08,4.29
4,Mon,October 2,8:15PM ET,boxscore,W,,3-1,@,New York Giants,24,3,13,281,160,121,,17,248,136,112,3,-7.86,29.37,0.33
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 15,1:00PM ET,boxscore,L,,3-2,@,Cincinnati Bengals,13,17,24,384,297,87,2,15,214,168,46,1,-3.89,1.37,-1.98
7,Sun,October 22,4:05PM ET,boxscore,W,,4-2,,Arizona Cardinals,20,10,18,318,203,115,3,15,249,122,127,,2.20,10.34,-3.57
8,Sun,October 29,4:05PM ET,boxscore,W,,5-2,,Cleveland Browns,24,20,17,362,248,114,2,23,385,230,155,3,6.04,0.00,2.50
9,Sun,November 5,1:00PM ET,boxscore,L,,5-3,@,Baltimore Ravens,3,37,6,151,123,28,2,29,515,217,298,2,-21.73,-17.08,5.23
10,Sun,November 12,4:25PM ET,boxscore,W,,6-3,,Washington Commanders,29,26,27,489,369,120,,16,356,288,68,1,15.28,-7.66,-2.61
11,Sun,November 19,4:25PM ET,boxscore,L,,6-4,@,Los Angeles Rams,16,17,16,291,223,68,1,20,267,185,82,1,0.28,-2.26,-0.20
12,Thu,November 23,8:20PM ET,boxscore,L,,6-5,,San Francisco 49ers,13,31,14,220,132,88,2,23,377,208,169,1,-10.62,-8.06,0.59
13,Thu,November 30,8:15PM ET,boxscore,L,,6-6,@,Dallas Cowboys,35,41,25,406,334,72,1,33,411,275,136,,20.82,-24.14,-3.78
14,Sun,December 10,4:05PM ET,boxscore,L,,6-7,@,San Francisco 49ers,16,28,17,324,254,70,2,19,527,354,173,2,-1.61,-19.70,3.47
15,Mon,December 18,8:15PM ET,boxscore,W,,7-7,,Philadelphia Eagles,20,17,16,297,197,100,,23,321,143,178,2,6.27,-5.20,-0.39
16,Sun,December 24,1:00PM ET,boxscore,W,,8-7,@,Tennessee Titans,20,17,21,273,215,58,,23,287,125,162,,13.04,-9.37,0.67
17,Sun,December 31,4:05PM ET,boxscore,L,,8-8,,Pittsburgh Steelers,23,30,17,369,281,88,1,25,468,266,202,,7.51,-20.36,0.67
18,Sun,January 7,4:25PM ET,boxscore,W,,9-8,@,Arizona Cardinals,21,20,18,327,189,138,,24,466,260,206,,10.16,-18.03,6.27

