Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,@,Baltimore Ravens,9,25,18,268,196,72,1,18,265,155,110,2,-15.24,0.55,0.49
2,Sun,September 17,1:00PM ET,boxscore,L,,0-2,,Indianapolis Colts,20,31,24,389,337,52,1,19,353,227,126,,7.88,-14.21,-4.04
3,Sun,September 24,1:00PM ET,boxscore,W,,1-2,@,Jacksonville Jaguars,37,17,15,366,280,86,,22,404,288,116,2,13.65,-3.88,10.46
4,Sun,October 1,1:00PM ET,boxscore,W,,2-2,,Pittsburgh Steelers,30,6,24,451,312,139,,12,225,111,114,1,15.66,8.54,-2.59
5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Atlanta Falcons,19,21,17,313,249,64,,26,447,351,96,2,2.73,-6.01,1.01
6,Sun,October 15,1:00PM ET,boxscore,W,,3-3,,New Orleans Saints,20,13,19,297,177,120,1,24,430,341,89,2,8.10,-5.96,3.91
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 29,1:00PM ET,boxscore,L,,3-4,@,Carolina Panthers,13,15,16,229,119,110,1,20,224,180,44,,-3.60,-0.91,2.13
9,Sun,November 5,1:00PM ET,boxscore,W,,4-4,,Tampa Bay Buccaneers,39,37,26,496,443,53,1,21,332,251,81,1,16.65,-13.23,-5.81
10,Sun,November 12,1:00PM ET,boxscore,W,,5-4,@,Cincinnati Bengals,30,27,28,544,356,188,3,20,380,314,66,2,13.25,-4.94,-4.46
11,Sun,November 19,1:00PM ET,boxscore,W,,6-4,,Arizona Cardinals,21,16,22,419,308,111,3,20,319,196,123,2,4.22,1.11,-0.49
12,Sun,November 26,1:00PM ET,boxscore,L,,6-5,,Jacksonville Jaguars,21,24,19,352,261,91,,22,445,364,81,1,8.20,-13.92,-3.64
13,Sun,December 3,1:00PM ET,boxscore,W,,7-5,,Denver Broncos,22,17,14,353,264,89,,16,282,164,118,3,-1.15,4.63,0.91
14,Sun,December 10,1:00PM ET,boxscore,L,,7-6,@,New York Jets,6,30,10,135,54,81,,20,347,268,79,1,-22.37,-2.85,3.08
15,Sun,December 17,1:00PM ET,boxscore,W,OT,8-6,@,Tennessee Titans,19,16,21,340,192,148,1,14,204,138,66,1,-9.00,8.62,3.38
16,Sun,December 24,1:00PM ET,boxscore,L,,8-7,,Cleveland Browns,22,36,20,250,178,72,2,26,418,364,54,2,-9.69,-12.38,8.56
17,Sun,December 31,1:00PM ET,boxscore,W,,9-7,,Tennessee Titans,26,3,20,312,201,111,,11,187,134,53,1,3.77,18.77,-1.45
18,Sat,January 6,8:15PM ET,boxscore,W,,10-7,@,Indianapolis Colts,23,19,16,306,246,60,,21,360,133,227,1,5.93,-3.98,-1.85
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 13,4:30PM ET,boxscore,W,,11-7,,Cleveland Browns,45,14,14,356,280,76,,18,324,268,56,2,15.45,19.50,-3.91
Division,Sat,January 20,4:30PM ET,boxscore,L,,11-8,@,Baltimore Ravens,10,34,10,213,175,38,,22,352,123,229,,-10.33,-15.37,2.77

