Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,@,New Orleans Saints,15,16,16,285,181,104,3,15,351,282,69,2,-8.64,-0.83,4.03
2,Sun,September 17,1:00PM ET,boxscore,W,OT,1-1,,Los Angeles Chargers,27,24,22,341,200,141,,19,342,281,61,,9.86,-6.80,-0.06
3,Sun,September 24,1:00PM ET,boxscore,L,,1-2,@,Cleveland Browns,3,27,6,94,68,26,,23,341,263,78,1,-13.12,-13.99,4.04
4,Sun,October 1,1:00PM ET,boxscore,W,,2-2,,Cincinnati Bengals,27,3,23,400,227,173,1,14,211,139,72,1,18.97,9.18,-1.14
5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Indianapolis Colts,16,23,19,348,259,89,1,21,429,236,193,,6.32,-16.77,0.89
6,Sun,October 15,9:30AM ET,boxscore,L,,2-4,,Baltimore Ravens,16,24,17,233,104,129,2,20,360,221,139,1,-1.30,-3.16,-4.65
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 29,1:00PM ET,boxscore,W,,3-4,,Atlanta Falcons,28,23,17,375,226,149,1,17,342,202,140,1,4.14,3.34,0.17
9,Thu,November 2,8:15PM ET,boxscore,L,,3-5,@,Pittsburgh Steelers,16,20,23,340,235,105,1,22,326,160,166,,3.61,-10.92,3.77
10,Sun,November 12,1:00PM ET,boxscore,L,,3-6,@,Tampa Bay Buccaneers,6,20,14,209,167,42,1,19,340,263,77,1,-14.75,-7.05,4.53
11,Sun,November 19,1:00PM ET,boxscore,L,,3-7,@,Jacksonville Jaguars,14,34,12,235,143,92,2,24,389,261,128,,3.96,-21.06,-2.84
12,Sun,November 26,1:00PM ET,boxscore,W,,4-7,,Carolina Panthers,17,10,15,264,184,80,,19,258,162,96,1,0.52,7.57,0.58
13,Sun,December 3,1:00PM ET,boxscore,L,OT,4-8,,Indianapolis Colts,28,31,25,381,204,177,2,19,355,300,55,2,3.29,-2.48,-6.88
14,Mon,December 11,8:15PM ET,boxscore,W,,5-8,@,Miami Dolphins,28,27,22,403,320,83,3,20,366,208,158,1,1.86,0.67,-0.42
15,Sun,December 17,1:00PM ET,boxscore,L,OT,5-9,,Houston Texans,16,19,14,204,138,66,1,21,340,192,148,1,-8.62,9.00,-3.38
16,Sun,December 24,1:00PM ET,boxscore,L,,5-10,,Seattle Seahawks,17,20,23,287,125,162,,21,273,215,58,,9.37,-13.04,-0.67
17,Sun,December 31,1:00PM ET,boxscore,L,,5-11,@,Houston Texans,3,26,11,187,134,53,1,20,312,201,111,,-18.77,-3.77,1.45
18,Sun,January 7,1:00PM ET,boxscore,W,,6-11,,Jacksonville Jaguars,28,20,19,327,152,175,1,20,362,280,82,2,7.12,0.86,0.99

