Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,,Tampa Bay Buccaneers,17,20,18,369,328,41,3,16,242,169,73,,0.10,3.09,-7.66
2,Thu,September 14,8:15PM ET,boxscore,L,,0-2,@,Philadelphia Eagles,28,34,19,374,346,28,4,24,430,171,259,1,7.44,-14.53,0.51
3,Sun,September 24,1:00PM ET,boxscore,L,,0-3,,Los Angeles Chargers,24,28,29,475,345,130,2,24,475,445,30,1,8.26,-15.21,4.83
4,Sun,October 1,1:00PM ET,boxscore,W,,1-3,@,Carolina Panthers,21,13,14,265,130,135,2,20,232,149,83,1,-5.73,14.29,0.38
5,Sun,October 8,4:25PM ET,boxscore,L,,1-4,,Kansas City Chiefs,20,27,24,329,259,70,1,21,333,266,67,,10.22,-15.55,-0.17
6,Sun,October 15,1:00PM ET,boxscore,W,,2-4,@,Chicago Bears,19,13,12,220,174,46,1,18,275,113,162,3,-8.38,15.39,0.79
7,Mon,October 23,8:15PM ET,boxscore,W,,3-4,,San Francisco 49ers,22,17,24,452,378,74,1,19,325,260,65,3,16.30,-5.43,-6.07
8,Sun,October 29,1:00PM ET,boxscore,W,,4-4,@,Green Bay Packers,24,10,24,346,284,62,1,16,270,196,74,1,13.60,10.54,-9.64
9,Sun,November 5,1:00PM ET,boxscore,W,,5-4,@,Atlanta Falcons,31,28,23,363,217,146,2,18,370,260,110,2,1.90,3.40,-3.43
10,Sun,November 12,1:00PM ET,boxscore,W,,6-4,,New Orleans Saints,27,19,23,388,263,125,,16,280,215,65,2,10.78,0.04,-4.27
11,Sun,November 19,8:20PM ET,boxscore,L,,6-5,@,Denver Broncos,20,21,19,385,210,175,3,13,295,249,46,,-1.96,3.68,-5.21
12,Mon,November 27,8:15PM ET,boxscore,L,,6-6,,Chicago Bears,10,12,15,242,169,73,4,18,317,199,118,2,-10.19,7.29,3.55
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,December 10,4:05PM ET,boxscore,W,,7-6,@,Las Vegas Raiders,3,0,16,231,99,132,,8,202,146,56,3,-10.05,20.46,-6.43
15,Sat,December 16,1:00PM ET,boxscore,L,OT,7-7,@,Cincinnati Bengals,24,27,24,424,281,143,2,22,378,298,80,1,8.62,-9.29,-1.35
16,Sun,December 24,1:00PM ET,boxscore,L,,7-8,,Detroit Lions,24,30,19,390,373,17,4,28,389,246,143,1,11.43,-15.44,-0.61
17,Sun,December 31,8:20PM ET,boxscore,L,,7-9,,Green Bay Packers,10,33,13,211,144,67,2,28,470,293,177,1,-14.27,-22.54,12.19
18,Sun,January 7,1:00PM ET,boxscore,L,,7-10,@,Detroit Lions,20,30,24,448,359,89,2,19,381,311,70,,4.55,-17.81,-1.13
